#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua,Behin-betiko kreditua,Behartua
1010,9204,16000,,"Gizarte Segurantza, enpresaren kontura",47218.0,44277.53,12588.78
1010,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,2940.47,1521.38
1010,9204,22730,,LOPD-ko prozesuak definitu eta ikuskatzea.,20000.0,20000.0,0.0
1010,9204,22732,,Zerbitzuak emateko kontratuak,10000.0,10000.0,311.53
1010,9221,22690,,Hauteskunde gastuak,0.0,60000.0,1034.15
1011,9204,12000,,Funtzionarioen oinarrizko ordainsariak,491283.0,491283.0,241895.22
1011,9204,12100,,Funtzionarioen ordainsari osagarriak,573965.0,573965.0,288268.32
1011,9204,14100,,Bestelako langileak,92341.0,92341.0,61139.81
1011,9204,16000,,"Gizarte Segurantza, enpresaren kontura",331718.0,310955.18,162901.21
1011,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,20762.82,12031.53
1011,9204,21501,,Informatika-aplikazioak mantentzea,440000.0,440000.0,271091.76
1011,9204,22720,,Aplikatiboak onik zaintzeko euskarria,1400000.0,1400000.0,374134.0
1011,9204,22724,,Iruzur fiskalaren kontrako planeko softwarea mantentzea,1.0,1.0,0.0
1011,9204,62623,,e-administrazioa plan zuzentzailea,250000.0,250000.0,0.0
1011,9204,62624,,Iruzur fiskalaren kontrako plana,200000.0,200000.0,0.0
1011,9204,62624,R,Iruzur fiskalaren kontrako plana,0.0,20469.64,14369.9
1011,9204,62625,,Diru-laguntzen kudeaketa zentralizatua,100000.0,100000.0,0.0
1011,9204,62625,R,Diru-laguntzen kudeaketa zentralizatua,0.0,10000.0,0.0
1011,9204,62626,,Udaltzaingoaren sistema informatikoa,50000.0,50000.0,5583.69
1012,9204,12000,,Funtzionarioen oinarrizko ordainsariak,346995.0,346995.0,159971.16
1012,9204,12100,,Funtzionarioen ordainsari osagarriak,451479.0,451479.0,203825.03
1012,9204,14100,,Bestelako langileak,124993.0,124993.0,76695.76
1012,9204,16000,,"Gizarte Segurantza, enpresaren kontura",265401.0,252730.91,122792.11
1012,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,12670.09,6182.7
1012,9204,21500,,Informatika ekipoak onik zaintzea,330000.0,330000.0,90196.91
1012,9204,22728,,Ordenagailu zentralen euskarria,300000.0,300000.0,45971.26
1012,9204,22729,,Erabiltzaileen ekipoak mantentzeko euskarria,30000.0,30000.0,0.0
1012,9204,22755,,Herritarrek erabiltzeko aplikazioetako teknologia berrien plana,1.0,1.0,0.0
1012,9204,62600,,Informatika ekipoak erostea,250000.0,250000.0,14489.17
1012,9204,62600,R,Informatika ekipoak erostea,0.0,14934.0,14934.0
1012,9204,62604,,Oinarrizko softwarea erostea,160000.0,160000.0,2432.0
1012,9204,62620,,Segurtasun planeko ekintzak,100000.0,100000.0,0.0
1012,9204,62627,,Tresna eta zerbitzuak berritzea,550000.0,550000.0,0.0
1012,9271,22200,,Telefono-fakturazioa,432600.0,432600.0,42432.95
1012,9271,22202,,Posta eta jakinarazpenak,1879300.0,1879300.0,307755.39
1012,9271,22644,,Aldizkari ofizialetako iragarkiak,10081.0,10081.0,8000.0
1017,9204,12000,,Funtzionarioen oinarrizko ordainsariak,195559.0,195559.0,136822.21
1017,9204,12100,,Funtzionarioen ordainsari osagarriak,269966.0,269966.0,171973.78
1017,9204,14100,,Bestelako langileak,60930.0,60930.0,50712.03
1017,9204,16000,,"Gizarte Segurantza, enpresaren kontura",145501.0,134162.43,97262.49
1017,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,11338.57,8073.38
1018,9204,12000,,Funtzionarioen oinarrizko ordainsariak,28648.0,28648.0,13901.56
1018,9204,12100,,Funtzionarioen ordainsari osagarriak,42568.0,42568.0,20061.6
1018,9204,16000,,"Gizarte Segurantza, enpresaren kontura",14360.0,12809.15,6276.06
1018,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,760.69
1019,9204,12000,,Funtzionarioen oinarrizko ordainsariak,28228.0,28228.0,11788.58
1019,9204,12100,,Funtzionarioen ordainsari osagarriak,42660.0,42660.0,16251.62
1019,9204,16000,,"Gizarte Segurantza, enpresaren kontura",14360.0,12809.15,6276.06
1019,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,760.69
1020,9204,12000,,Funtzionarioen oinarrizko ordainsariak,27342.0,27342.0,13589.48
1020,9204,12100,,Funtzionarioen ordainsari osagarriak,42180.0,42180.0,20885.52
1020,9204,16000,,"Gizarte Segurantza, enpresaren kontura",12809.0,12809.0,6276.06
1110,2301,12000,,Funtzionarioen oinarrizko ordainsariak,102194.0,102194.0,54357.42
1110,2301,12100,,Funtzionarioen ordainsari osagarriak,151579.0,151579.0,75448.41
1110,2301,14100,,Bestelako langileak,125950.0,125950.0,76208.29
1110,2301,16000,,"Gizarte Segurantza, enpresaren kontura",100153.0,98886.54,54130.82
1110,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1266.46,621.18
1111,2301,12000,,Funtzionarioen oinarrizko ordainsariak,761544.0,761544.0,344791.35
1111,2301,12100,,Funtzionarioen ordainsari osagarriak,956784.0,956784.0,434915.01
1111,2301,13000,,Lan-kontratudun langile finkoen ordainsariak,40612.0,40612.0,17182.65
1111,2301,14100,,Bestelako langileak,335348.0,335348.0,113460.7
1111,2301,16000,,"Gizarte Segurantza, enpresaren kontura",684818.0,651714.85,278612.75
1111,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,33103.15,14380.52
1111,2301,22103,,Gasa,23000.0,23000.0,11392.6
1111,2301,22145,,"Gastu sanitarioa, Koronabirusagatik",0.0,0.0,6395.67
1111,2301,22618,,Bestelako funtzionamendu gastuak,50000.0,50000.0,2508.03
1111,2301,48045,,Diru-laguntzak,200000.0,200000.0,0.0
1111,2301,48190,,Gizarte-Laneko Elkargoarekiko hitzarmena,10000.0,10000.0,0.0
1111,2301,48968,,"Hitzarmena: ""Vivir con voz propia"" elkartea",15000.0,15000.0,0.0
1111,2301,62204,,Zentro eta lokaletako inbertsioak,175000.0,175000.0,0.0
1111,2301,62204,A,Zentro eta lokaletako inbertsioak,0.0,554580.4,141301.1
1111,2301,62204,R,Zentro eta lokaletako inbertsioak,0.0,60094.48,0.0
1111,2301,62303,,Makinak erostea,255000.0,255000.0,7211.88
1111,2301,62303,R,Makinak erostea,0.0,161796.31,38417.5
1111,2301,62501,,Altzariak,80000.0,80000.0,4303.91
1111,2301,62501,R,Altzariak,0.0,281554.83,0.0
1115,2323,22745,,Aterperik gabekoentzako kaleko heziketako programa,94550.0,94550.0,39395.83
1115,2323,48003,,Gizarte laguntzak,45000.0,45000.0,11008.67
1115,2324,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",1500.0,1500.0,422.7
1115,2324,22105,,Jantziak eta uniformeak,1000.0,1000.0,0.0
1115,2324,22106,,Elikagaiak,20000.0,20000.0,10108.57
1115,2324,22111,,Tresnak,7500.0,7500.0,1794.07
1115,2324,22115,,Berariazko material teknikoa,6000.0,6000.0,2698.93
1115,2324,22759,,Lantegietako irakasleak,32752.58,32752.58,10278.0
1115,2324,22784,,Larrialdi zerbitzuen kontratuak,481000.01,481000.01,240499.98
1115,2324,22786,,Janari-garraioa,9436.08,9436.08,3931.7
1115,2324,48003,,Gizarte laguntzak,38000.0,38000.0,9372.93
1115,2325,22111,,Tresnak,12000.0,12000.0,1159.2
1115,2325,22115,,Berariazko material teknikoa,29500.0,29500.0,12085.2
1115,2325,22614,,Gizarteratu lantegiak,810000.0,810000.0,240029.74
1115,2325,22666,,Goiuriko gaueko zaintza,102153.48,102153.48,38412.7
1115,2325,22747,,Zainpeko etxebizitzen kudeaketa,70000.0,70000.0,0.0
1115,2325,22761,,Larrialdietarako etxebizitzetan laguntzeko programa,105000.0,105000.0,34086.32
1115,2325,22786,,"Janari-garraioa, etxe irekira",9436.08,9436.08,3931.7
1115,2325,48003,,Gizarte laguntzak,50000.0,50000.0,8449.32
1115,2325,48121,,"Hitzarmena: HIESaren aurkako batzordea, Etxe irekia",340860.0,340860.0,257978.5
1115,2325,48137,,"Hitzarmena: HIESaren aurkako batzordea, zainpeko etxebizitzak",297600.0,297600.0,225057.25
1115,2325,48140,,"Hitzarmena: HIESaren aurkako batzordea, Estrada etxea",465900.0,465900.0,352521.0
1115,2325,48145,,Hitzarmena Caritasekin - lanerako prestakuntzako lantegia,72000.0,72000.0,0.0
1115,2325,48148,,"Hitzarmena: Afroamericana, zainpeko etxebizitzak",522200.0,522200.0,394847.0
1115,2325,48169,,Hitzarmena: Gao Lacho Drom,60756.0,60756.0,0.0
1115,2325,48170,,"Hitzarmena, IRSE: laneratzeko programa",30000.0,30000.0,0.0
1115,2325,48184,,Clara Campoamor elkartearekiko hitzarmena - Indarkeriaren biktima diren emakumeak hartzeko etxebizitzak,0.0,300379.0,227345.25
1115,2325,48190,,Gazteei laguntzeko etxebizitza erdi zaindua,58250.0,58250.0,44084.5
1115,2325,48197,,Hitzarmena: Sendotu,20000.0,20000.0,0.0
1115,2325,48901,,"Hitzarmena: HIESaren aurkako batzordea, Aterpe",470550.0,470550.0,356268.5
1115,2325,48940,,Abetxukuko ekimen-etxea,77000.0,77000.0,0.0
1115,2327,12000,,Funtzionarioen oinarrizko ordainsariak,489710.0,489710.0,235084.9
1115,2327,12100,,Funtzionarioen ordainsari osagarriak,667433.0,667433.0,310774.18
1115,2327,14100,,Bestelako langileak,536696.0,536696.0,241108.69
1115,2327,16000,,"Gizarte Segurantza, enpresaren kontura",632083.0,620157.59,265983.67
1115,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,11925.41,7580.97
1115,2381,48184,,Clara Campoamor elkartearekiko hitzarmena - Indarkeriaren biktima diren emakumeak hartzeko etxebizitzak,300379.0,0.0,0.0
1120,2311,12000,,Funtzionarioen oinarrizko ordainsariak,329501.0,329501.0,150351.93
1120,2311,12100,,Funtzionarioen ordainsari osagarriak,396447.0,396447.0,183534.93
1120,2311,14100,,Bestelako langileak,224941.0,224941.0,140809.48
1120,2311,16000,,"Gizarte Segurantza, enpresaren kontura",279918.0,273663.18,138941.56
1120,2311,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6254.82,3169.47
1120,2311,22111,,Tresnak,3500.0,3500.0,470.81
1120,2311,22115,,Berariazko material teknikoa,2000.0,2000.0,581.29
1120,2311,22678,,Haurrentzako partaidetza-programa,100000.0,100000.0,51240.9
1120,2311,22679,, ‘Prólogo’ prebentzio-programa,30000.0,30000.0,9805.46
1120,2311,22680,,Emozioei buruzko lantegiak,186088.01,186088.01,94715.96
1120,2311,22726,,Gurasotasun positiborako programa (Senidegune),112000.0,112000.0,47374.89
1120,2311,22745,,Laguntza eta garapen egokiturako programa (LGE),500590.6,500590.6,207916.0
1120,2311,22746,,"Egokitzen, gurasokidetasun positiboa dibortzioetan",64500.0,64500.0,0.0
1120,2311,22748,,Terapiak,150000.0,150000.0,90643.91
1120,2311,22763,,Gurasoen aurkako indarkeria-egoeretan garaiz esku hartzeko programa,84992.0,84992.0,0.0
1120,2311,22775,,Bidatu kudeatzeko programa,226319.0,226319.0,82935.45
1120,2311,22789,,Erresilientzia,286184.19,286184.19,92528.0
1120,2311,22791,,Haurrentzako tokiko plana,150000.0,150000.0,30096.71
1120,2311,22792,,Sexu-abusuak baloratzea,42105.0,42105.0,1380.2
1120,2311,22794,,Gizarte- eta hezkuntza-zentroak,1271928.43,1271928.43,531815.9
1120,2311,48003,,Gizarte laguntzak,4000.0,4000.0,1557.84
1120,2311,48036,,Hitzarmena: AVAIM,11780.0,11780.0,0.0
1120,2311,48187,,Hitzarmena: Garenok,11780.0,11780.0,0.0
1120,2311,48956,,Hitzarmena: intolerantziaren aurka,11780.0,11780.0,0.0
1120,2311,48991,,Hitzarmena: UNICEF,11780.0,11780.0,0.0
1120,2311,48992,,Hitzarmena: AMAPASE,15000.0,15000.0,0.0
1133,2312,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",11000.0,11000.0,5701.72
1133,2312,22105,,Jantziak eta uniformeak,3000.0,3000.0,374.55
1133,2312,22106,,Elikagaiak,2053912.02,2053912.02,575351.54
1133,2312,22106,R,Elikagaiak,0.0,48051.45,12695.97
1133,2312,22111,,Tresnak,55908.52,55908.52,33287.45
1133,2312,22115,,Berariazko material teknikoa,72000.0,72000.0,56179.33
1133,2312,22606,,Ile-apaindegiko zerbitzuak,15910.0,15910.0,1533.77
1133,2312,22618,,Bestelako funtzionamendu gastuak,12000.0,12000.0,6749.23
1133,2312,22623,,Familia zaintzaileei laguntzeko programa,96999.65,96999.65,44380.83
1133,2312,22652,,Hirugarren adinekoen egoitzetako animazioa,293700.0,293700.0,74764.24
1133,2312,22666,,Gaueko zaintza - San Prudentzio egoitza,76451.0,76451.0,19546.75
1133,2312,22667,,San Prudentzioko erlijio zerbitzuak,6900.0,6900.0,1935.83
1133,2312,22684,,Koronabirusagatik bertan behera utzitako kontratuen kalteordainak,0.0,0.0,45415.36
1133,2312,22702,,Kafetegi-zerbitzua,13408.92,13408.92,2644.29
1133,2312,22708,,Zaharrak lekualdatzea,151769.02,151769.02,29497.94
1133,2312,22709,,Zaintza- eta loturen-lanen plana,100000.0,100000.0,0.0
1133,2312,48018,,Adinekoak hartzeko emakume boluntarioen elkartea,1400.0,1400.0,0.0
1133,2312,48023,,Hitzarmena: AFA,3959.7,3959.7,0.0
1133,2312,48150,,Adinekoei laguntzeko boluntarioen programa,6142.74,6142.74,0.0
1133,2312,48151,,Askatasunik gabeko pertsonen auzolanak,11180.86,11180.86,0.0
1133,2312,48194,,Arabako Abokatuen Elkargoa,10000.0,10000.0,0.0
1133,2312,48959,,Hitzarmena: Ascundean - 3. adina,70397.57,70397.57,0.0
1133,2313,22111,,Tresnak,12000.0,12000.0,4109.03
1133,2313,22754,,Adinekoentzako zentro soziokulturalen kudeaketa,3097986.0,3097986.0,923713.05
1133,2313,22786,,Janari-garraioa,103544.0,103544.0,25642.62
1133,2313,48960,,Hitzarmena: San Mateo parrokia,10335.0,10335.0,0.0
1133,2313,48961,,Hitzarmena: Aingeruen Andre Mariaren parrokia,10335.0,10335.0,0.0
1133,2313,48962,,Hitzarmena: San Petri parrokia,10335.0,10335.0,0.0
1133,2313,62271,A,Kirol-zelaiak egokitzea Kanpoaldeak,0.0,377779.64,166907.94
1133,2314,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",1500.0,1500.0,727.17
1133,2314,22111,,Tresnak,28863.0,28863.0,969.17
1133,2314,22115,,Berariazko material teknikoa,900.0,900.0,447.85
1133,2314,22609,,Adinekoentzako apartamentuetako familia-langileak,405000.0,405000.0,126309.48
1133,2314,22618,,Bestelako funtzionamendu gastuak,5444.63,5444.63,2761.22
1133,2314,22628,,Santa María de Olarizuko animazioa,68174.0,68174.0,16136.08
1133,2314,22705,,Tomas Zumarraga Dohatsuaren kaleko Eguneko Arreta Zerbitzua kudeatzea,552107.0,552107.0,226633.3
1133,2314,22708,,Zaharrak lekualdatzea,335137.11,335137.11,59118.41
1133,2314,22714,,Renacimiento kaleko Eguneko Arreta Zerbitzua kudeatzea,146000.0,146000.0,0.0
1133,2314,22718,,Blas de Otero kaleko Eguneko Arreta Zerbitzua kudeatzea,737000.0,737000.0,341033.3
1133,2314,22786,,Janari-garraioa,35375.3,35375.3,11795.15
1133,2317,12000,,Funtzionarioen oinarrizko ordainsariak,2766903.0,2766903.0,1297266.22
1133,2317,12100,,Funtzionarioen ordainsari osagarriak,3826448.0,3826448.0,1769112.47
1133,2317,14100,,Bestelako langileak,4924711.0,4924711.0,2466404.16
1133,2317,16000,,"Gizarte Segurantza, enpresaren kontura",4124617.0,3998455.41,1804302.13
1133,2317,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,126161.59,60887.47
1145,2315,48138,,Hitzarmena: Elikagaien Bankua,12000.0,12000.0,0.0
1145,2315,48157,,Vicente Abreu elkarte federazioa,32712.0,32712.0,24534.0
1145,2321,22731,,Babesgabetuetako otorduak,300000.0,300000.0,156294.5
1145,2321,22786,,Janari-garraioa,141764.91,141764.91,39371.45
1145,2321,22797,,Etxez etxeko laguntza zerbitzua,12276837.0,12276837.0,3605665.55
1145,2321,22798,,Etxean laguntzeko zerbitzuaren analisia,30000.0,30000.0,0.0
1145,2321,48000,,Gizarte-larrialdiko laguntzak,4673000.0,6699458.0,2069273.04
1145,2321,48003,,Gizarte laguntzak,4000000.0,4000000.0,3592388.86
1145,2321,48005,,"Pobrezia energetikoaren kontrako plana, Gasteizen",60000.0,60000.0,17520.0
1145,2321,48154,,Gurutze Gorria - Adinekoei laguntzea,77500.0,77500.0,0.0
1145,2321,48957,,Hitzarmena: AGLE,60000.0,60000.0,0.0
1145,2321,48977,,Hitzarmena: Save the Children,11724.0,11724.0,9379.2
1145,2322,22115,,Berariazko material teknikoa,44200.0,44200.0,6400.0
1145,2322,22619,,Kaleko heziketa,1048260.0,1048260.0,436775.0
1145,2322,22746,,Oinarrizko Gizarte Zerbitzuak zaintzea,365537.5,365537.5,157148.7
1145,2322,22759,,Lantegietako irakasleak,303671.0,303671.0,71974.16
1145,2328,12000,,Funtzionarioen oinarrizko ordainsariak,1178147.0,1178147.0,625412.82
1145,2328,12100,,Funtzionarioen ordainsari osagarriak,1367466.0,1367466.0,732942.58
1145,2328,14100,,Bestelako langileak,1056283.0,1056283.0,426027.52
1145,2328,16000,,"Gizarte Segurantza, enpresaren kontura",1150990.0,1111343.33,544755.91
1145,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,39646.67,19474.35
1150,2391,12000,,Funtzionarioen oinarrizko ordainsariak,89946.0,89946.0,46205.31
1150,2391,12100,,Funtzionarioen ordainsari osagarriak,113140.0,113140.0,57875.75
1150,2391,14100,,Bestelako langileak,7480.0,7480.0,0.0
1150,2391,16000,,"Gizarte Segurantza, enpresaren kontura",60298.0,57992.66,28678.89
1150,2391,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,2305.34,1130.78
1150,2391,22696,,Euskal Fondoaren kuota,11237.4,11237.4,0.0
1150,2391,22699,,Bestelako hainbat gastu,3000.0,3000.0,753.95
1150,2391,22707,,Azterlanak eta lan teknikoak,115000.0,115000.0,13176.9
1150,2391,22799,,Kanpoko beste zenbait lan,30000.0,30000.0,2656.34
1150,2391,48200,,Lankidetzarako diru-laguntzak,1418834.0,1418834.0,0.0
1150,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,132000.0,132000.0,132000.0
1150,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0,320000.0,0.0
1150,2391,48207,,Hitzarmena: Euskal Fondoa,207000.0,207000.0,11237.4
1150,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0,24000.0,0.0
1150,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,17000.0,17000.0,1457.68
1150,2391,48213,,Hitzarmena: bidezko merkataritza,70000.0,70000.0,0.0
1310,9313,12000,,Funtzionarioen oinarrizko ordainsariak,135303.0,135303.0,70636.73
1310,9313,12100,,Funtzionarioen ordainsari osagarriak,177979.0,177979.0,90977.49
1310,9313,14100,,Bestelako langileak,9368.0,9368.0,0.0
1310,9313,16000,,"Gizarte Segurantza, enpresaren kontura",87564.0,81614.46,39607.61
1310,9313,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,5949.54,2791.67
1510,1701,11000,,Kabineteko behin-behineko langileen ordainsariak,81775.0,81775.0,41348.42
1510,1701,13000,,Lan-kontratudun langile finkoen ordainsariak,0.0,0.0,3912.35
1510,1701,16000,,"Gizarte Segurantza, enpresaren kontura",18505.0,16954.15,7554.07
1510,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,760.69
1510,1701,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,1000.0,1000.0,0.0
1510,1701,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0,5000.0,100.0
1510,1701,22206,,Kanpo-ekintzak eta nazioarteko lankidetzak,10000.0,10000.0,408.73
1514,1701,12000,,Funtzionarioen oinarrizko ordainsariak,232409.0,232409.0,75323.52
1514,1701,12100,,Funtzionarioen ordainsari osagarriak,284307.0,284307.0,88619.39
1514,1701,14100,,Bestelako langileak,116572.0,116572.0,110881.39
1514,1701,16000,,"Gizarte Segurantza, enpresaren kontura",197591.0,187365.53,85579.94
1514,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,10225.47,4327.89
152002,1331,60195,,Trafiko-segurtasuneko elementuak hobetzea,100000.0,100000.0,17289.48
152002,1513,60921,,Koroatzeko proiektua,200000.0,200000.0,0.0
152002,1533,60002,,Desjabetzeak,267846.2,0.0,0.0
152002,1533,60102,,Irisgarritasuna hobetzea,60000.0,60000.0,0.0
152002,1533,60116,,Eraberritze eta asfaltatze integralak,1000000.0,1000000.0,0.0
152002,1533,60129,,Txirrindularien sare nagusia,100000.0,100000.0,0.0
152002,1533,60171,,Bizikletak aparkatzekoak eta bizikletentzako lonjak,105000.0,105000.0,0.0
152002,1533,60189,,BJTen inbertsioak,1500000.0,1500000.0,556230.34
152002,1533,60198,,Espazio publikoko inbertsioen gida-plana,2500000.0,2500000.0,408767.45
152002,1533,60201,,Erdi Aroko etxarteak berritu eta birgaitzea,75000.0,75000.0,0.0
152002,1533,60506,,Ariznabarrako aparkalekua,350000.0,350000.0,0.0
152002,1533,60508,,Lakua-Arriagako aparkalekuaren erreforma,150000.0,150000.0,0.0
152002,1533,60922,,Bizikleta-gordailua,50000.0,50000.0,0.0
152002,1533,60924,,Bidegorrien sarea handitzea,125000.0,125000.0,0.0
152002,1533,61121,,"Oroimenezko zentroaren ingurunea, bigarren fasea",35001.0,35001.0,0.0
152002,1533,64304,,"Ordainsariak, azterlanak eta proiektuak",40000.0,40000.0,6897.0
152002,1533,64517,,Hirigunea biziberritzeko Bost Enparantza plana,800000.0,800000.0,0.0
152002,1534,12000,,Funtzionarioen oinarrizko ordainsariak,1098018.0,1098018.0,498125.14
152002,1534,12100,,Funtzionarioen ordainsari osagarriak,1565953.0,1565953.0,717823.36
152002,1534,14100,,Bestelako langileak,376628.0,376628.0,232838.15
152002,1534,16000,,"Gizarte Segurantza, enpresaren kontura",1053745.0,1008639.46,507507.64
152002,1534,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,45105.54,20130.67
152002,1534,20200,,Makineria eta instalazioak alokatzea,108000.0,108000.0,6873.34
152002,1534,21008,,Berehala jarduteko taldeak (haur jolasak),170000.0,170000.0,54477.78
152002,1534,21009,,Zaharkitutako haurrentzako jolasak berritzea,170000.0,170000.0,0.0
152002,1534,21012,,Espazio publikoko betearazte subsidiarioak,20000.0,20000.0,0.0
152002,1534,21060,,Bide publikoak eta zoladura zaintzea,500000.0,500000.0,199838.33
152002,1534,21060,R,Bide publikoak eta zoladura zaintzea,0.0,33275.29,0.0
152002,1534,21062,,Zoladura eta aglomeratuak mantentzea,200000.0,200000.0,17623.73
152002,1534,21062,R,Zoladura eta aglomeratuak mantentzea,0.0,4235.0,0.0
152002,1534,21097,,Su artifizialen zelaia,3500.0,3500.0,0.0
152002,1534,21701,,Hiri-altzariak onik zaintzea,70000.0,70000.0,17682.71
152002,1534,21701,R,Hiri-altzariak onik zaintzea,0.0,36565.33,0.0
152002,1534,21703,,Arrapalak mantentzeko kontratuak,120000.0,120000.0,15840.0
152002,1534,21703,R,Arrapalak mantentzeko kontratuak,0.0,33720.03,0.0
152002,1534,21706,,Iturriak onik zaintzea,20000.0,20000.0,0.0
152002,1534,22111,,Tresnak,30000.0,30000.0,12416.29
152002,1534,22722,,Komun publikoak mantentzeko kontratua,55000.0,55000.0,6729.15
152002,1641,22111,,Tresnak,10000.0,10000.0,14777.29
152002,1641,22140,,Hilerrietako berariazko gastuak,50000.0,50000.0,1090.49
152002,1641,22715,,Hondakinen gaikako bilketa,10000.0,10000.0,3974.2
152002,1641,60105,,Hobiak eta panteoiak egitea,100000.0,100000.0,24871.5
152002,1651,21006,,Berehala jarduteko taldeak (argiteria),416000.0,416000.0,0.0
152002,1651,22101,,Espazio publikorako eta ingurune naturalerako energia elektrikoa hornitzea,4200000.0,4200000.0,1657234.19
152002,1651,22101,R,Espazio publikorako eta ingurune naturalerako energia elektrikoa hornitzea,0.0,359700.19,359700.19
152002,1651,60115,,Kaleko argiteria hobetzea,100000.0,100000.0,0.0
152002,1711,60920,A,Azpiegitura berdeak,0.0,53673.87,18963.11
152002,1711,60920,R,Azpiegitura berdeak,0.0,117219.18,37930.39
152002,1711,64520,,Salburuko super-etxadia,50000.0,50000.0,0.0
152002,2381,60607,,Genero-ikuspegia kaleko argiterian,75000.0,75000.0,0.0
152002,4411,21705,,Autobus elektrikoak mantentzea ,181500.0,181500.0,0.0
152002,4411,47122,,"AFA eta Parke teknologikoarekiko hitzarmena, bidaiarien garraiorako",20000.0,20000.0,0.0
152002,4411,69200,,BRT ezartzea,878964.0,878964.0,701370.9
152002,4411,71003,,"Hitzarmena: Eusko Jaurlaritza, AFA, Udala - tranbia hegoalderantz luzatzea",1554877.22,1554877.22,1225131.1
152002,4411,71005,A,"Hitzarmena: Eusko Jaurlaritza, AFA - garraio multimodala",0.0,77286.98,0.0
152002,4411,71007,,Salburua-Zabalgana tranbia,1347500.0,1347500.0,0.0
152002,4412,77000,,Taxi elektrikoak erosteko diru-laguntza,60000.0,30000.0,0.0
152002,4412,77002,,"Gasteizko taxilarien manparak, Covid-19",0.0,30000.0,0.0
152005,1513,47135,R,Hitzarmena Iberdrola Distribucionekin,0.0,70000.0,0.0
152005,1513,71001,A,Koroatzeko proiektua (rehabilitation & distric heating,0.0,0.0,0.0
152005,1513,71001,R,Koroatzeko proiektua (rehabilitation & distric heating,0.0,0.0,0.0
152005,1513,77001,R,Koroatze proiektuaren jabari publikoko emakidaren deialdia,0.0,900000.0,0.0
152005,1533,60102,R,Irisgarritasuna hobetzea,0.0,189509.01,0.0
152005,1533,60122,A,Erdi aroko hirigunea eraberritze integraleko plana,0.0,1522081.96,454733.3
152005,1533,60171,A,Bizikletak aparkatzekoak eta bizikletentzako lonjak,0.0,17985.0,0.0
152005,1533,60171,R,Bizikletak aparkatzekoak eta bizikletentzako lonjak,0.0,50000.0,50000.0
152005,1533,60189,R,BJTen inbertsioak,0.0,151761.26,92438.91
152005,1533,60198,A,Espazio publikoko inbertsioak - gida-plana,0.0,31482.58,0.0
152005,1533,60198,R,Espazio publikoko inbertsioak - gida-plana,0.0,561811.52,122685.8
152005,1533,60922,R,Bizikleta-gordailua,0.0,49999.84,0.0
152005,1533,60924,R,Bidegorrien sarea handitzea,0.0,88605.8,0.0
152005,1533,64304,R,"Ordainsariak, azterlanak eta proiektuak",0.0,1948.1,1948.1
152005,1533,64517,R,Hirigunea biziberritzeko Bost Enparantza plana,0.0,200000.0,0.0
152005,1651,22130,,Argiteria publikoaren mantentze orokorra,400000.0,400000.0,202089.8
152005,1651,60115,A,Kaleko argiteria hobetzea,0.0,292991.17,0.0
152005,1651,60115,R,Kaleko argiteria hobetzea,0.0,69930.02,0.0
152005,1651,60318,A,"Argindar-kableak kentzea, Abetxuku eta Adurtzan",0.0,64293.94,0.0
152005,4411,69200,A,BRT ezartzea,0.0,34834946.9,1417307.08
152005,4411,69200,R,BRT ezartzea,0.0,2323618.61,492268.26
152007,1711,12000,,Funtzionarioen oinarrizko ordainsariak,913080.0,913080.0,433980.36
152007,1711,12100,,Funtzionarioen ordainsari osagarriak,1261874.0,1261874.0,596539.79
152007,1711,14100,,Bestelako langileak,413085.0,413085.0,217316.11
